abundance,environment
0,1
1,2
3,3
8,4
4,5
12,6
15,7
13,8
11,9
15,10
22,11
20,12
20,13
24,14
28,15
30,16
35,17
43,18
46,19
47,20
52,21
54,22
52,23
39,24
60,25
67,26
56,27
60,28
65,29
64,30
74,31
73,32
63,33
86,34
75,35
91,36
90,37
83,38
83,39
79,40
81,41
74,42
96,43
88,44
98,45
93,46
83,47
81,48
100,49
104,50
80,51
87,52
78,53
80,54
70,55
58,56
46,57
58,58
35,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
